"-- Please Select --","-- Selecteer --"
"</span> from <span itemprop=""bestRating"">","</span> van de <span itemprop=""bestRating"">"
"from","van de"
" from "," van de "
"<span class=""score"">Rated with %1 </span><span class=""text"">Based on <a href=""%2"" class=""webwinkelkeurPopup"" title=""Webshop Trustmark"" target=""_blank"">%3 Customer Reviews</a></span>","<span class=""score"">Beoordeeld met %1 </span><span class=""text"">Gebaseerd op <a href=""%2"" class=""webwinkelkeurPopup"" title=""Webshop Trustmark"" target=""_blank""> %3 klant beoordelingen</a></span>"
"Rated with %1 - Based on <a href=""%2"" class=""webwinkelkeurPopup"" title=""Webshop Trustmark"" target=""_blank""><span class=""brandicon""></span> %3 reviews</a>","Beoordeeld met %1 - Gebaseerd op <a href=""%2"" class=""webwinkelkeurPopup"" title=""Webshop Trustmark"" target=""_blank""><span class=""brandicon""></span> %3 Beoordelingen</a>"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 is standaard. Om direct te verversen is het mogelijk de cache voor de HTML blokken verversen."
"Add Merchant review data to your store to gain more confidence. Data can be outputted using built in widgets.","Voeg klant beoordelingen toe aan uw winkel om meer vertrouwen te winnen. Het aantal beoordelingen en scores kunnen getoond worden met behulp van de ingebouwde widgets."
"Add Rich Snippets","Rich Snippets toevoegen"
"API Details","API Gegevens"
"Auto import merchant reviews","Automatisch importeren van klant beoordelingen"
"Big Widget","Big Widget"
"Cache Lifetime (Seconds)","Cache duur (seconde)"
"Company ID","Bedrijfs ID"
"Connector","Connector"
"Custom Widget","Custom Widget"
"Debug invitation calls, once enabled the output can be found in var/debug.log","Debug de uitnodigingen, indien ingeschakeld staat de output in het var/debug.log bestand"
"Debug","Debug"
"Delay","Vertraging"
"Enabled","Geactiveerd"
"Every Hour","Every Hour"
"from","van de"
"General","Algemeen"
"Import Now","Handmatig uitvoeren"
"Invitation to write review","Stuur een uitnodiging om een beoordeling te schrijven"
"Javascript Integration","Javascript Integratie"
"Last Import","Laatste Import"
"Magento Review Widget","Weergave Magento klantbeoordelingen widgets"
"Maximum processing time order","Maximale levertijd"
"Maximum Delay","Maximale vertraging"
"Medium Widget","Medium Widget"
"Merchant Reviews","Klant Beoordelingen"
"Number of days to complete order may last, if it takes longer then no invitation will be sent. Read more about this feature on Webwinkelkeur.nl.","Aantal dagen dat de bestelling oud mag zijn. Als het langer duurt, zal er geen uitnodiging worden verstuurd. Lees meer over deze feature op WebwinkelKeur.nl."
"Once a day","Once a day"
"Order is Completed with status","Order is Compleet met deze status"
"Product Reviews","Product Reviews"
"Rated with %1 - Based on <a href=""%2"" class=""webwinkelkeurPopup"" title=""Webshop Trustmark"" target=""_blank"">%3 reviews</a>","Beoordeeld met %1 - gebaseerd op <a href=""%2"" class=""webwinkelkeurPopup"" title=""Webshop Trustmark"" target=""_blank"">%3 beoordelingen</a>"
"Remind Delay","Herinner vertraging"
"Run Now","Importeren"
"Sent invite after x  days","Uitnodiging versturen na x dagen"
"Select if you wish to enable the WebwinkelKeur connector in this Store View.","Selecteer of WebwinkelKeur extensie geactiveerd dient te worden in deze storeview."
"Select the status when the order is ready to be sent to WebwinkelKeur.","Selecteer de status van de order wanneer deze verzonden dient te worden naar WebwinkelKeur"
"Send a review invitation fully automatic a certain days after the clients purchased a product in your store. In this way you can automatically gain unique content, trust and re-visites from your clients.","Stuur automatisch een Feedback uitnodiging een bepaald aantal dagen nadat de klant een aankoop heeft gedaan. Op deze manier kunt u automatisch unieke content, vertrouwen en re-visites van uw klanten winnen."
"Send customers automatically receive an invitation to share a customer experience. This feature is only available for WebwinkelKeur PLUS members.","Stuur automatisch een herinnering e-mail naar klanten om een beoordeling te schrijven. Deze functie is alleen beschikbaar voor WebwinkelKeur PLUS leden."
"Send the invitation reminder x days after the previous reminder. 0 = none","Stuur een feedback uitnodiging een x aantal dagen na de vorige uitnodiging. 0 = geen"
"Showing the sidebar ensures a higher confidence. Visitors can read the reviews without leaving the store.","Het tonen van deze sidebar verhoogt het vertrouwen in de webwinkel."
"Small Widget","Small Widget"
"Status","Status"
"Specify at which status you want to send the invitation. Default is Completed","Specificeer vanaf welke status de herinnering verzonden dient te worden. Standaard is Completed."
"The WebwinkelKeur javascript integration ensures that your WebwinkelKeur to load page on your own web store. Now customers don't have to leave your store anymore to read the reviews. This effectively increases your conversion. The display of the javascript integration can be personalized via https://dashboard.webwinkelkeur.nl. In your dashboard you will find under the option the personalization options such as how the sidebar is displayed and if it is activated on the mobile.","Door het implementeren van dit Javascript heeft deze sidebar als voordeel dat de bezoeker de webwinkel niet hoeft te verlaten om beoordelingen te kunnen zien. De weergave van de javascript integratie is te personaliseren via https://dashboard.webwinkelkeur.nl. Daar vindt u onder de optie Installatie personalisatie mogelijkheden zoals hoe de sidebar wordt weergegeven en of deze op mobiel geactiveerd wordt."
"This will ensure that the customer receives the invitation shortly after receiving the product and not before. This increases the opportunity that the client will share his experience.","Dit zorgt ervoor dat de klant de uitnodiging ontvang kort na het ontvangen van de aankoop en niet eerder. Dit verhoogt de kans dat de klant zijn of haar ervaring deelt."
"Use Cron","Gebruik Cron"
"Version","Versie"
"WebwinkelKeur - Summary Widget","WebwinkelKeur - Beoordeling Widget"
"WebwinkelKeur can invite your customers to write customer reviews. It’s also possible to activate an extra reminder using the settings at https://dashboard.webwinkelkeur.nl. <strong>Note:</strong> this feature is only available to PLUS & EU members.","WebwinkelKeur heeft de mogelijkheid om klanten een herinnering te sturen om een beoordeling te schrijven. Het is daarbij ook mogelijk om een extra herinnering in te stellen via https://dashboard.webwinkelkeur.nl.  <strong>Let op:</strong> deze functie is alleen beschikbaar voor PLUS & EU leden."
"WebwinkelKeur Javascript integration","WebwinkelKeur Javascript Integratie"
"You may use the automatic import functionality which uses your Magento Cronjob.","U kunt de automatische import functionaliteit gebruiken middels de standaard Magento Cronjob."
"You can find the necessary information by logging in at https://dashboard.webwinkelkeur.nl. Navigate to Installation > Wizard and follow the installation instructions. As addition next to the activation of this extension we also recommend you to follow the installation wizard and install the WebwinkelKeur widget and banners.","Je vindt deze informatie door in te loggen op https://dashboard.webwinkelkeur.nl. Navigeer naar Installatie > Wizard en volg de instructies. In de instructie tekst staat de API sleutel en het webwinkel id. Aanvullend op de installatie van deze extensie adviseren we je ook de installatie wizard te doorlopen. Plaats daarbij ook het WebwinkelKeur banner materiaal en de WebwinkelKeur widget."
